state,county,tract,NAME.x,TotalPop_12,TR_Italian_12,Census_Tract.x,County.x,State.x,pro_2012,pro_2017,prop_ital_sig
36,5,6400,"Census Tract 64, Bronx County, New York",4021,76,Census Tract 64,Bronx County,New York,0.018900771,0.026594137,not stat sig
36,5,6500,"Census Tract 65, Bronx County, New York",5588,35,Census Tract 65,Bronx County,New York,0.006263422,0.007859623,not stat sig
36,5,6700,"Census Tract 67, Bronx County, New York",7697,50,Census Tract 67,Bronx County,New York,0.006496037,0.004648619,not stat sig
36,5,6800,"Census Tract 68, Bronx County, New York",2964,67,Census Tract 68,Bronx County,New York,0.022604588,0.031149927,not stat sig
36,5,6900,"Census Tract 69, Bronx County, New York",6915,89,Census Tract 69,Bronx County,New York,0.012870571,0.020955574,not stat sig
36,5,7000,"Census Tract 70, Bronx County, New York",4326,2,Census Tract 70,Bronx County,New York,4.62E-04,0.003265973,not stat sig
36,5,7100,"Census Tract 71, Bronx County, New York",2268,0,Census Tract 71,Bronx County,New York,0,0.011843079,not stat sig
36,5,7200,"Census Tract 72, Bronx County, New York",5764,55,Census Tract 72,Bronx County,New York,0.009541985,0.017572464,not stat sig
36,5,7300,"Census Tract 73, Bronx County, New York",3886,44,Census Tract 73,Bronx County,New York,0.011322697,0,not stat sig
36,5,7400,"Census Tract 74, Bronx County, New York",4085,21,Census Tract 74,Bronx County,New York,0.005140759,0.012117715,not stat sig
36,5,7500,"Census Tract 75, Bronx County, New York",4394,60,Census Tract 75,Bronx County,New York,0.013654984,0.002483855,not stat sig
36,5,7600,"Census Tract 76, Bronx County, New York",5638,66,Census Tract 76,Bronx County,New York,0.011706279,0.007001167,not stat sig
36,5,7700,"Census Tract 77, Bronx County, New York",1887,10,Census Tract 77,Bronx County,New York,0.005299417,0.00574988,not stat sig
36,5,7800,"Census Tract 78, Bronx County, New York",6978,50,Census Tract 78,Bronx County,New York,0.007165377,0,not stat sig
36,5,7900,"Census Tract 79, Bronx County, New York",6385,5,Census Tract 79,Bronx County,New York,7.83E-04,0.008793079,not stat sig
36,5,8300,"Census Tract 83, Bronx County, New York",5355,49,Census Tract 83,Bronx County,New York,0.009150327,0.002281369,not stat sig
36,5,8400,"Census Tract 84, Bronx County, New York",2470,0,Census Tract 84,Bronx County,New York,0,0.004627981,not stat sig
36,5,8500,"Census Tract 85, Bronx County, New York",5650,18,Census Tract 85,Bronx County,New York,0.003185841,0.002884469,not stat sig
36,5,8600,"Census Tract 86, Bronx County, New York",3833,7,Census Tract 86,Bronx County,New York,0.001826246,0,not stat sig
36,5,8700,"Census Tract 87, Bronx County, New York",6072,228,Census Tract 87,Bronx County,New York,0.037549407,0.01066798,not stat sig
36,5,8900,"Census Tract 89, Bronx County, New York",3101,0,Census Tract 89,Bronx County,New York,0,0.008301216,not stat sig
36,5,9000,"Census Tract 90, Bronx County, New York",3773,65,Census Tract 90,Bronx County,New York,0.01722767,0.01676554,not stat sig
36,5,9200,"Census Tract 92, Bronx County, New York",5230,85,Census Tract 92,Bronx County,New York,0.01625239,0.005482103,not stat sig
36,5,9300,"Census Tract 93, Bronx County, New York",6578,50,Census Tract 93,Bronx County,New York,0.007601095,0.002023661,not stat sig
36,5,9600,"Census Tract 96, Bronx County, New York",2469,70,Census Tract 96,Bronx County,New York,0.028351559,0.033755274,not stat sig
36,5,9800,"Census Tract 98, Bronx County, New York",4775,135,Census Tract 98,Bronx County,New York,0.028272251,0.020427828,not stat sig
36,5,11000,"Census Tract 110, Bronx County, New York",150,0,Census Tract 110,Bronx County,New York,0,0,not stat sig
36,5,11502,"Census Tract 115.02, Bronx County, New York",4551,0,Census Tract 115.02,Bronx County,New York,0,0.002845884,not stat sig
36,5,11700,"Census Tract 117, Bronx County, New York",1594,0,Census Tract 117,Bronx County,New York,0,0,not stat sig
36,5,11800,"Census Tract 118, Bronx County, New York",5130,1551,Census Tract 118,Bronx County,New York,0.302339181,0.28908046,not stat sig
36,5,11900,"Census Tract 119, Bronx County, New York",5721,36,Census Tract 119,Bronx County,New York,0.006292606,0.002009499,not stat sig
36,5,12101,"Census Tract 121.01, Bronx County, New York",2983,0,Census Tract 121.01,Bronx County,New York,0,0.002693603,not stat sig
36,5,12102,"Census Tract 121.02, Bronx County, New York",1462,0,Census Tract 121.02,Bronx County,New York,0,0.00384369,not stat sig
36,5,12300,"Census Tract 123, Bronx County, New York",3582,10,Census Tract 123,Bronx County,New York,0.002791736,0.011764706,not stat sig
36,5,12500,"Census Tract 125, Bronx County, New York",3792,0,Census Tract 125,Bronx County,New York,0,0.010199557,stat sig
36,5,12701,"Census Tract 127.01, Bronx County, New York",2008,15,Census Tract 127.01,Bronx County,New York,0.00747012,0.026236125,not stat sig
36,5,12901,"Census Tract 129.01, Bronx County, New York",3357,117,Census Tract 129.01,Bronx County,New York,0.034852547,0.005550622,not stat sig
36,5,13000,"Census Tract 130, Bronx County, New York",1017,417,Census Tract 130,Bronx County,New York,0.410029499,0.213157895,stat sig
36,5,13100,"Census Tract 131, Bronx County, New York",5108,58,Census Tract 131,Bronx County,New York,0.011354738,0.003816794,not stat sig
36,5,13200,"Census Tract 132, Bronx County, New York",6924,1498,Census Tract 132,Bronx County,New York,0.216348931,0.131352402,stat sig
36,5,13300,"Census Tract 133, Bronx County, New York",6708,0,Census Tract 133,Bronx County,New York,0,0.005392653,not stat sig
36,5,13500,"Census Tract 135, Bronx County, New York",3603,131,Census Tract 135,Bronx County,New York,0.03635859,0.014258811,not stat sig
36,5,13800,"Census Tract 138, Bronx County, New York",3197,736,Census Tract 138,Bronx County,New York,0.230215827,0.396370968,stat sig
36,5,14100,"Census Tract 141, Bronx County, New York",3448,13,Census Tract 141,Bronx County,New York,0.003770302,0,not stat sig
36,5,14300,"Census Tract 143, Bronx County, New York",833,0,Census Tract 143,Bronx County,New York,0,0.026823135,not stat sig
36,5,14400,"Census Tract 144, Bronx County, New York",5378,87,Census Tract 144,Bronx County,New York,0.016177017,0.016798966,not stat sig
36,5,14500,"Census Tract 145, Bronx County, New York",6106,46,Census Tract 145,Bronx County,New York,0.007533574,0.019952014,not stat sig
36,5,14701,"Census Tract 147.01, Bronx County, New York",5860,0,Census Tract 147.01,Bronx County,New York,0,0.001178473,not stat sig
36,5,14702,"Census Tract 147.02, Bronx County, New York",5436,0,Census Tract 147.02,Bronx County,New York,0,0.003629105,not stat sig
36,5,14900,"Census Tract 149, Bronx County, New York",4369,34,Census Tract 149,Bronx County,New York,0.007782101,0.012434999,not stat sig
36,5,15100,"Census Tract 151, Bronx County, New York",6203,16,Census Tract 151,Bronx County,New York,0.002579397,0.002556036,not stat sig
36,5,15200,"Census Tract 152, Bronx County, New York",2559,432,Census Tract 152,Bronx County,New York,0.168815944,0.165841584,not stat sig
36,5,15300,"Census Tract 153, Bronx County, New York",4095,0,Census Tract 153,Bronx County,New York,0,0.001650505,not stat sig
36,5,15500,"Census Tract 155, Bronx County, New York",3457,42,Census Tract 155,Bronx County,New York,0.012149262,0,not stat sig
36,5,15700,"Census Tract 157, Bronx County, New York",3174,2,Census Tract 157,Bronx County,New York,6.30E-04,2.21E-04,not stat sig
36,5,15800,"Census Tract 158, Bronx County, New York",1278,271,Census Tract 158,Bronx County,New York,0.212050078,0.189627229,not stat sig
36,5,15900,"Census Tract 159, Bronx County, New York",2547,16,Census Tract 159,Bronx County,New York,0.0062819,0,not stat sig
36,5,16000,"Census Tract 160, Bronx County, New York",4050,1516,Census Tract 160,Bronx County,New York,0.374320988,0.277659574,not stat sig
36,5,16100,"Census Tract 161, Bronx County, New York",4541,0,Census Tract 161,Bronx County,New York,0,0,not stat sig
36,5,16200,"Census Tract 162, Bronx County, New York",1756,418,Census Tract 162,Bronx County,New York,0.238041002,0.157762097,not stat sig
36,5,16300,"Census Tract 163, Bronx County, New York",228,0,Census Tract 163,Bronx County,New York,0,0,not stat sig
36,5,16400,"Census Tract 164, Bronx County, New York",1015,521,Census Tract 164,Bronx County,New York,0.513300493,0.344325897,stat sig
36,5,16500,"Census Tract 165, Bronx County, New York",1287,0,Census Tract 165,Bronx County,New York,0,0,not stat sig
36,5,16600,"Census Tract 166, Bronx County, New York",2372,740,Census Tract 166,Bronx County,New York,0.311973019,0.219449225,not stat sig
36,5,16700,"Census Tract 167, Bronx County, New York",2186,0,Census Tract 167,Bronx County,New York,0,0.003059039,not stat sig
36,5,16900,"Census Tract 169, Bronx County, New York",1741,11,Census Tract 169,Bronx County,New York,0.006318208,0.016666667,not stat sig
36,5,17100,"Census Tract 171, Bronx County, New York",3,1,Census Tract 171,Bronx County,New York,0.333333333,0,not stat sig
36,5,17300,"Census Tract 173, Bronx County, New York",6377,13,Census Tract 173,Bronx County,New York,0.002038576,0.015850401,not stat sig
36,5,17500,"Census Tract 175, Bronx County, New York",7086,30,Census Tract 175,Bronx County,New York,0.0042337,0.003501401,not stat sig
